date,open,high,low,close,volume
2019-02-12,131.87,133.26,131.46,132.86,409337
2019-02-13,132.99,133.41,131.93,132.72,417902
2019-02-14,132.45,132.45,130.1,131.77,639504
2019-02-15,132.65,133.13,132.1,132.74,619306
2019-02-19,132.71,132.71,131.1,131.71,766344
2019-02-20,131.97,133.07,131.352,132.64,393208
2019-02-21,131.52,132.05,131.06,131.71,551934
2019-02-22,132.06,133.05,131.95,133.02,483818
2019-02-25,133.71,134.9875,132.9,133.19,519464
2019-02-26,133.08,133.08,131.63,131.73,485639
2019-02-27,131.31,133.52,130.64,133.45,489088
2019-02-28,133.24,135.27,132.55,134.36,921800
2019-03-01,135.19,137.67,135.19,136.72,924558
2019-03-04,136.83,137.67,134.24,135.51,746453
2019-03-05,135.36,136.52,133.82,135.44,395979
2019-03-06,135.55,135.76,133.2279,133.82,406208
2019-03-07,133.79,134.09,132.1,132.94,676266
2019-03-08,131.91,133.85,130.85,133.51,657752
2019-03-11,133.9,134.76,133.545,134.6,423515
2019-03-12,135.0,135.93,134.76,135.61,441813
2019-03-13,136.13,136.78,134.98,136.07,649816
2019-03-14,136.03,136.74,135.33,136.31,683613
2019-03-15,136.26,137.42,136.21,136.6,745741
2019-03-18,136.85,136.85,133.99,135.57,718709
2019-03-19,136.2,137.27,135.62,136.64,675577
2019-03-20,136.3,137.26,135.58,135.82,513152
2019-03-21,135.27,138.35,134.71,137.78,683655
2019-03-22,138.83,141.53,138.135,138.59,603647
2019-03-25,138.51,139.35,137.876,138.71,357886
2019-03-26,139.76,140.51,138.43,139.12,331366
2019-03-27,139.27,139.5,137.495,139.01,591957
2019-03-28,139.44,140.36,138.94,140.28,305351
2019-03-29,141.24,142.17,140.43,141.72,828587
2019-04-01,142.5,142.5,140.73,141.59,563930
2019-04-02,141.58,142.07,140.65,141.98,480536
2019-04-03,142.33,142.33,138.85,139.54,871153
2019-04-04,139.66,140.12,139.2,139.9,416398
2019-04-05,140.14,141.16,139.7,140.76,416176
2019-04-08,141.06,142.02,139.66,141.97,517943
2019-04-09,141.42,142.085,140.81,141.0,465418
2019-04-10,140.97,141.46,140.32,140.59,608874
2019-04-11,140.98,140.98,139.88,140.52,458004
2019-04-12,141.0,142.32,141.0,141.5,589392
2019-04-15,141.4,141.73,140.49,141.04,629909
2019-04-16,141.58,142.01,136.62,137.12,614609
2019-04-17,137.69,137.69,131.345,131.66,719767
